taxon	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
ADH04745|La_Crosse_virus	ADH04745	La Crosse virus	LACV/95/WV-H	1995	Homo sapiens	USA: West Virginia	North America	California
ABQ12631|La_Crosse_virus	ABQ12631	La Crosse virus	LACV/human/1960	1960	NA	USA: Minnesota	North America	California
AAA62607|La_Crosse_virus	AAA62607	La Crosse virus	La Crosse/original	NA	NA	USA	North America	California
ADH04737|La_Crosse_virus	ADH04737	La Crosse virus	LACV/67/NY-M (67-8109)	1967	mosquito	USA: New York	North America	California
AAO33758|La_Crosse_virus	AAO33758	La Crosse virus	La Crosse/original	NA	NA	USA	North America	California
ADE28878|La_Crosse_virus	ADE28878	La Crosse virus	SVP_Vernon_WI_2006	2006	Aedes triseriatus (mosquito)	"USA: Vernon, WI"	North America	California
Q8JPR2|La_Crosse_virus_L78	Q8JPR2	La Crosse virus						California
ABQ12635|La_Crosse_virus	ABQ12635	La Crosse virus	LACV/human/1978	1978	NA	USA: Wisconsin	North America	California
AAM94387|La_Crosse_virus	AAM94387	La Crosse virus	Human/78	1978	NA	USA	North America	California
ADE28876|La_Crosse_virus	ADE28876	La Crosse virus	BEN_Lafayette_WI_2007	2007	Aedes triseriatus (mosquito)	"USA: Lafayette, WI"	North America	California
ADE28880|La_Crosse_virus	ADE28880	La Crosse virus	CGA_Houston_MN_2007	2007	Aedes triseriatus (mosquito)	"USA: Houston, MN"	North America	California
ADH04743|La_Crosse_virus	ADH04743	La Crosse virus	LACV/93/MO-H	1993	Homo sapiens	USA: Missouri	North America	California
AKP04423|La_Crosse_virus	AKP04423	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
AKP04421|La_Crosse_virus	AKP04421	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
WBW48511|La_Crosse_virus	WBW48511	La Crosse virus						California
ADH04744|La_Crosse_virus	ADH04744	La Crosse virus	LACV/95/OH-H (CCH-MB96)	1995	Homo sapiens	USA: Ohio	North America	California
ADH04748|La_Crosse_virus	ADH04748	La Crosse virus	LACV/65/OH-M (W17258)	1965	mosquito	USA: Ohio	North America	California
