taxon	accession	organism	serogroup
AXF50244|Schmallenberg_virus	AXF50244	Schmallenberg virus	Simbu
AXF50238|Schmallenberg_virus	AXF50238	Schmallenberg virus	Simbu
AXF50239|Schmallenberg_virus	AXF50239	Schmallenberg virus	Simbu
AXF50243|Schmallenberg_virus	AXF50243	Schmallenberg virus	Simbu
AXF50241|Schmallenberg_virus	AXF50241	Schmallenberg virus	Simbu
AXF50230|Schmallenberg_virus	AXF50230	Schmallenberg virus	Simbu
AXF50237|Schmallenberg_virus	AXF50237	Schmallenberg virus	Simbu
AXF50240|Schmallenberg_virus	AXF50240	Schmallenberg virus	Simbu
AXF50231|Schmallenberg_virus	AXF50231	Schmallenberg virus	Simbu
AXF50242|Schmallenberg_virus	AXF50242	Schmallenberg virus	Simbu
AGC93527|Schmallenberg_virus	AGC93527	Schmallenberg virus	Simbu
BBA58049|Schmallenberg_virus	BBA58049	Schmallenberg virus	Simbu
AGC93517|Schmallenberg_virus	AGC93517	Schmallenberg virus	Simbu
BBA58054|Schmallenberg_virus	BBA58054	Schmallenberg virus	Simbu
BBA58051|Schmallenberg_virus	BBA58051	Schmallenberg virus	Simbu
BBA58058|Schmallenberg_virus	BBA58058	Schmallenberg virus	Simbu
AGC93532|Schmallenberg_virus	AGC93532	Schmallenberg virus	Simbu
BBA58044|Schmallenberg_virus	BBA58044	Schmallenberg virus	Simbu
BBA58037|Schmallenberg_virus	BBA58037	Schmallenberg virus	Simbu
BBA58039|Schmallenberg_virus	BBA58039	Schmallenberg virus	Simbu
BBA58038|Schmallenberg_virus	BBA58038	Schmallenberg virus	Simbu
BBA58040|Schmallenberg_virus	BBA58040	Schmallenberg virus	Simbu
BBA58036|Schmallenberg_virus	BBA58036	Schmallenberg virus	Simbu
AGC93531|Schmallenberg_virus	AGC93531	Schmallenberg virus	Simbu
BBA58048|Schmallenberg_virus	BBA58048	Schmallenberg virus	Simbu
AGD94644|Schmallenberg_virus	AGD94644	Schmallenberg virus	Simbu
AGD94643|Schmallenberg_virus	AGD94643	Schmallenberg virus	Simbu
AGD94642|Schmallenberg_virus	AGD94642	Schmallenberg virus	Simbu
AGC93518|Schmallenberg_virus	AGC93518	Schmallenberg virus	Simbu
BBA58047|Schmallenberg_virus	BBA58047	Schmallenberg virus	Simbu
AGC93525|Schmallenberg_virus	AGC93525	Schmallenberg virus	Simbu
BBA58052|Schmallenberg_virus	BBA58052	Schmallenberg virus	Simbu
AGC93514|Schmallenberg_virus	AGC93514	Schmallenberg virus	Simbu
AGC93519|Schmallenberg_virus	AGC93519	Schmallenberg virus	Simbu
AXF50234|Schmallenberg_virus	AXF50234	Schmallenberg virus	Simbu
AXF50232|Schmallenberg_virus	AXF50232	Schmallenberg virus	Simbu
AXF50236|Schmallenberg_virus	AXF50236	Schmallenberg virus	Simbu
AXF50235|Schmallenberg_virus	AXF50235	Schmallenberg virus	Simbu
AXF50233|Schmallenberg_virus	AXF50233	Schmallenberg virus	Simbu
AQY63037|Schmallenberg_virus	AQY63037	Schmallenberg virus	Simbu
QPJ58386|Schmallenberg_virus	QPJ58386	Schmallenberg virus	Simbu
QPJ58384|Schmallenberg_virus	QPJ58384	Schmallenberg virus	Simbu
QPJ58385|Schmallenberg_virus	QPJ58385	Schmallenberg virus	Simbu
BBA58042|Schmallenberg_virus	BBA58042	Schmallenberg virus	Simbu
BBA58034|Schmallenberg_virus	BBA58034	Schmallenberg virus	Simbu
BBA58041|Schmallenberg_virus	BBA58041	Schmallenberg virus	Simbu
BBA58033|Schmallenberg_virus	BBA58033	Schmallenberg virus	Simbu
BBA58043|Schmallenberg_virus	BBA58043	Schmallenberg virus	Simbu
AQY63033|Schmallenberg_virus	AQY63033	Schmallenberg virus	Simbu
AQY63041|Schmallenberg_virus	AQY63041	Schmallenberg virus	Simbu
AQY63045|Schmallenberg_virus	AQY63045	Schmallenberg virus	Simbu
AQY63025|Schmallenberg_virus	AQY63025	Schmallenberg virus	Simbu
AGD94648|Schmallenberg_virus	AGD94648	Schmallenberg virus	Simbu
AGD94647|Schmallenberg_virus	AGD94647	Schmallenberg virus	Simbu
AGD94646|Schmallenberg_virus	AGD94646	Schmallenberg virus	Simbu
BBA58053|Schmallenberg_virus	BBA58053	Schmallenberg virus	Simbu
BBA58046|Schmallenberg_virus	BBA58046	Schmallenberg virus	Simbu
BBA58045|Schmallenberg_virus	BBA58045	Schmallenberg virus	Simbu
AGC93524|Schmallenberg_virus	AGC93524	Schmallenberg virus	Simbu
AGC93520|Schmallenberg_virus	AGC93520	Schmallenberg virus	Simbu
AGC93516|Schmallenberg_virus	AGC93516	Schmallenberg virus	Simbu
BBA58059|Schmallenberg_virus	BBA58059	Schmallenberg virus	Simbu
AGC93529|Schmallenberg_virus	AGC93529	Schmallenberg virus	Simbu
BBA58057|Schmallenberg_virus	BBA58057	Schmallenberg virus	Simbu
BBA58060|Schmallenberg_virus	BBA58060	Schmallenberg virus	Simbu
AQY63029|Schmallenberg_virus	AQY63029	Schmallenberg virus	Simbu
AGC93530|Schmallenberg_virus	AGC93530	Schmallenberg virus	Simbu
AGC93521|Schmallenberg_virus	AGC93521	Schmallenberg virus	Simbu
QOX59474|Schmallenberg_virus	QOX59474	Schmallenberg virus	Simbu
AKA63346|Schmallenberg_virus	AKA63346	Schmallenberg virus	Simbu
AVK60071|Schmallenberg_virus	AVK60071	Schmallenberg virus	Simbu
AGC84161|Schmallenberg_virus	AGC84161	Schmallenberg virus	Simbu
CCF55030|Schmallenberg_virus	CCF55030	Schmallenberg virus	Simbu
AGC93536|Schmallenberg_virus	AGC93536	Schmallenberg virus	Simbu
AKA63344|Schmallenberg_virus	AKA63344	Schmallenberg virus	Simbu
AGC93535|Schmallenberg_virus	AGC93535	Schmallenberg virus	Simbu
AKA63348|Schmallenberg_virus	AKA63348	Schmallenberg virus	Simbu
AKA63347|Schmallenberg_virus	AKA63347	Schmallenberg virus	Simbu
AKA63345|Schmallenberg_virus	AKA63345	Schmallenberg virus	Simbu
AGU16236|Schmallenberg_virus	AGU16236	Schmallenberg virus	Simbu
AGC93534|Schmallenberg_virus	AGC93534	Schmallenberg virus	Simbu
AIP98333|Schmallenberg_virus	AIP98333	Schmallenberg virus	Simbu
AIP98328|Schmallenberg_virus	AIP98328	Schmallenberg virus	Simbu
AIP98331|Schmallenberg_virus	AIP98331	Schmallenberg virus	Simbu
AGC93526|Schmallenberg_virus	AGC93526	Schmallenberg virus	Simbu
BBA58056|Schmallenberg_virus	BBA58056	Schmallenberg virus	Simbu
AGC93515|Schmallenberg_virus	AGC93515	Schmallenberg virus	Simbu
AVK60044|Schmallenberg_virus	AVK60044	Schmallenberg virus	Simbu
AGU16232|Schmallenberg_virus	AGU16232	Schmallenberg virus	Simbu
AGC93528|Schmallenberg_virus	AGC93528	Schmallenberg virus	Simbu
AGC93533|Schmallenberg_virus	AGC93533	Schmallenberg virus	Simbu
AGC93522|Schmallenberg_virus	AGC93522	Schmallenberg virus	Simbu
AGC93523|Schmallenberg_virus	AGC93523	Schmallenberg virus	Simbu
AVK60070|Schmallenberg_virus	AVK60070	Schmallenberg virus	Simbu
AIP98332|Schmallenberg_virus	AIP98332	Schmallenberg virus	Simbu
QOX59473|Schmallenberg_virus	QOX59473	Schmallenberg virus	Simbu
AIP98329|Schmallenberg_virus	AIP98329	Schmallenberg virus	Simbu
BBA58055|Schmallenberg_virus	BBA58055	Schmallenberg virus	Simbu
BBA58050|Schmallenberg_virus	BBA58050	Schmallenberg virus	Simbu
AWV54782|Schmallenberg_virus	AWV54782	Schmallenberg virus	Simbu
AKA63343|Schmallenberg_virus	AKA63343	Schmallenberg virus	Simbu
AQY63049|Schmallenberg_virus	AQY63049	Schmallenberg virus	Simbu
AIP98327|Schmallenberg_virus	AIP98327	Schmallenberg virus	Simbu
AIP98330|Schmallenberg_virus	AIP98330	Schmallenberg virus	Simbu
BAM15763|Sathuperi_orthobunyavirus	BAM15763	Sathuperi orthobunyavirus	Simbu
BDU51759|Sathuperi_orthobunyavirus	BDU51759	Sathuperi orthobunyavirus	Simbu
BAM15761|Sathuperi_orthobunyavirus	BAM15761	Sathuperi orthobunyavirus	Simbu
BAM15762|Sathuperi_orthobunyavirus	BAM15762	Sathuperi orthobunyavirus	Simbu
BAM15760|Sathuperi_orthobunyavirus	BAM15760	Sathuperi orthobunyavirus	Simbu
CCG93488|Sathuperi_orthobunyavirus	CCG93488	Sathuperi orthobunyavirus	Simbu
QCT81303|Douglas_virus	QCT81303	Douglas virus	Simbu
QCT81302|Douglas_virus	QCT81302	Douglas virus	Simbu
CCG93472|Douglas_virus	CCG93472	Douglas virus	Simbu
BAM15767|Douglas_virus	BAM15767	Douglas virus	Simbu
QCT81296|Aino_virus	QCT81296	Aino virus	Simbu
QCT81294|Aino_virus	QCT81294	Aino virus	Simbu
BAJ16498|Aino_virus	BAJ16498	Aino virus	Simbu
BAJ16500|Aino_virus	BAJ16500	Aino virus	Simbu
BAJ16499|Aino_virus	BAJ16499	Aino virus	Simbu
BAJ16504|Aino_virus	BAJ16504	Aino virus	Simbu
BAJ16502|Aino_virus	BAJ16502	Aino virus	Simbu
BAJ16503|Aino_virus	BAJ16503	Aino virus	Simbu
BAJ16501|Aino_virus	BAJ16501	Aino virus	Simbu
BAJ16497|Aino_virus	BAJ16497	Aino virus	Simbu
QCT81297|Aino_virus	QCT81297	Aino virus	Simbu
AXP32019|Kaikalur_virus	AXP32019	Kaikalur virus	Simbu
CCG93468|Aino_virus	CCG93468	Aino virus	Simbu
AXP31991|Aino_virus	AXP31991	Aino virus	Simbu
BAC76387|Aino_virus	BAC76387	Aino virus	Simbu
