taxon	accession	organism	serogroup
BBD13857|Akabane_virus	BBD13857	Akabane virus	Simbu
AWH61308|Akabane_virus	AWH61308	Akabane virus	Simbu
BAE97786|Akabane_virus	BAE97786	Akabane virus	Simbu
AWH61299|Akabane_virus	AWH61299	Akabane virus	Simbu
BAA24214|Akabane_virus	BAA24214	Akabane virus	Simbu
BBD13853|Akabane_virus	BBD13853	Akabane virus	Simbu
BAA24212|Akabane_virus	BAA24212	Akabane virus	Simbu
BBD13837|Akabane_virus	BBD13837	Akabane virus	Simbu
BBD13849|Akabane_virus	BBD13849	Akabane virus	Simbu
BAE98068|Akabane_virus	BAE98068	Akabane virus	Simbu
BAF75850|Akabane_virus	BAF75850	Akabane virus	Simbu
AAC61307|Akabane_virus	AAC61307	Akabane virus	Simbu
BBD13843|Akabane_virus	BBD13843	Akabane virus	Simbu
AWH61305|Akabane_virus	AWH61305	Akabane virus	Simbu
BAE97784|Akabane_virus	BAE97784	Akabane virus	Simbu
BAE98064|Akabane_virus	BAE98064	Akabane virus	Simbu
BAE98058|Akabane_virus	BAE98058	Akabane virus	Simbu
BBD13839|Akabane_virus	BBD13839	Akabane virus	Simbu
BAE98066|Akabane_virus	BAE98066	Akabane virus	Simbu
BAE97788|Akabane_virus	BAE97788	Akabane virus	Simbu
BAE98060|Akabane_virus	BAE98060	Akabane virus	Simbu
BAE97796|Akabane_virus	BAE97796	Akabane virus	Simbu
AFG29986|Akabane_virus	AFG29986	Akabane virus	Simbu
BBD13845|Akabane_virus	BBD13845	Akabane virus	Simbu
BBD13809|Akabane_virus	BBD13809	Akabane virus	Simbu
BBD13841|Akabane_virus	BBD13841	Akabane virus	Simbu
BBD13851|Akabane_virus	BBD13851	Akabane virus	Simbu
BAE97858|Akabane_virus	BAE97858	Akabane virus	Simbu
AWH61309|Akabane_virus	AWH61309	Akabane virus	Simbu
BAE97782|Akabane_virus	BAE97782	Akabane virus	Simbu
BAA24213|Akabane_virus	BAA24213	Akabane virus	Simbu
BAE97794|Akabane_virus	BAE97794	Akabane virus	Simbu
BBD13847|Akabane_virus	BBD13847	Akabane virus	Simbu
BAE97802|Akabane_virus	BAE97802	Akabane virus	Simbu
AFG29985|Akabane_virus	AFG29985	Akabane virus	Simbu
BAE97798|Akabane_virus	BAE97798	Akabane virus	Simbu
AFG29984|Akabane_virus	AFG29984	Akabane virus	Simbu
AWH61303|Akabane_virus	AWH61303	Akabane virus	Simbu
BAE97792|Akabane_virus	BAE97792	Akabane virus	Simbu
BAA24210|Akabane_virus	BAA24210	Akabane virus	Simbu
AWH61306|Akabane_virus	AWH61306	Akabane virus	Simbu
BAE98062|Akabane_virus	BAE98062	Akabane virus	Simbu
BAE97790|Akabane_virus	BAE97790	Akabane virus	Simbu
AWH61307|Akabane_virus	AWH61307	Akabane virus	Simbu
BAE97800|Akabane_virus	BAE97800	Akabane virus	Simbu
BBD13855|Akabane_virus	BBD13855	Akabane virus	Simbu
AAQ86762|Akabane_virus	AAQ86762	Akabane virus	Simbu
QWW18631|Akabane_orthobunyavirus	QWW18631	Akabane orthobunyavirus	Simbu
BAE97920|Akabane_virus	BAE97920	Akabane virus	Simbu
BAA24223|Akabane_virus	BAA24223	Akabane virus	Simbu
BAE97804|Akabane_virus	BAE97804	Akabane virus	Simbu
BAE97818|Akabane_virus	BAE97818	Akabane virus	Simbu
BAE97814|Akabane_virus	BAE97814	Akabane virus	Simbu
BAE97832|Akabane_virus	BAE97832	Akabane virus	Simbu
BAE97828|Akabane_virus	BAE97828	Akabane virus	Simbu
BAE97838|Akabane_virus	BAE97838	Akabane virus	Simbu
BAE97836|Akabane_virus	BAE97836	Akabane virus	Simbu
BAA24224|Akabane_virus	BAA24224	Akabane virus	Simbu
BAE97816|Akabane_virus	BAE97816	Akabane virus	Simbu
BAA24219|Akabane_virus	BAA24219	Akabane virus	Simbu
BAA24222|Akabane_virus	BAA24222	Akabane virus	Simbu
BAE97834|Akabane_virus	BAE97834	Akabane virus	Simbu
BAE97820|Akabane_virus	BAE97820	Akabane virus	Simbu
BAA24217|Akabane_virus	BAA24217	Akabane virus	Simbu
BAA24220|Akabane_virus	BAA24220	Akabane virus	Simbu
BAE97812|Akabane_virus	BAE97812	Akabane virus	Simbu
BAE97840|Akabane_virus	BAE97840	Akabane virus	Simbu
BAE97808|Akabane_virus	BAE97808	Akabane virus	Simbu
BAE97810|Akabane_virus	BAE97810	Akabane virus	Simbu
BAE97830|Akabane_virus	BAE97830	Akabane virus	Simbu
BAE97842|Akabane_virus	BAE97842	Akabane virus	Simbu
BAE97822|Akabane_virus	BAE97822	Akabane virus	Simbu
BAE97806|Akabane_virus	BAE97806	Akabane virus	Simbu
BAE97844|Akabane_virus	BAE97844	Akabane virus	Simbu
AFG29987|Akabane_virus	AFG29987	Akabane virus	Simbu
AWH61302|Akabane_virus	AWH61302	Akabane virus	Simbu
BBD13835|Akabane_virus	BBD13835	Akabane virus	Simbu
BBD13829|Akabane_virus	BBD13829	Akabane virus	Simbu
BBD13833|Akabane_virus	BBD13833	Akabane virus	Simbu
AWH61300|Akabane_virus	AWH61300	Akabane virus	Simbu
BAF75846|Akabane_virus	BAF75846	Akabane virus	Simbu
AWH61301|Akabane_virus	AWH61301	Akabane virus	Simbu
AWH61304|Akabane_virus	AWH61304	Akabane virus	Simbu
BAA24218|Akabane_virus	BAA24218	Akabane virus	Simbu
ACT37425|Akabane_virus	ACT37425	Akabane virus	Simbu
ABJ15797|Akabane_virus	ABJ15797	Akabane virus	Simbu
ABJ15799|Akabane_virus	ABJ15799	Akabane virus	Simbu
AAQ92318|Akabane_virus	AAQ92318	Akabane virus	Simbu
AXP32077|Tinaroo_virus	AXP32077	Tinaroo virus	Simbu
BBD13827|Akabane_virus	BBD13827	Akabane virus	Simbu
BBD13831|Akabane_virus	BBD13831	Akabane virus	Simbu
BAE97930|Akabane_virus	BAE97930	Akabane virus	Simbu
BAE97862|Akabane_virus	BAE97862	Akabane virus	Simbu
BAE97850|Akabane_virus	BAE97850	Akabane virus	Simbu
BAE97966|Akabane_virus	BAE97966	Akabane virus	Simbu
BAE97890|Akabane_virus	BAE97890	Akabane virus	Simbu
BAE97936|Akabane_virus	BAE97936	Akabane virus	Simbu
AAC61309|Akabane_virus	AAC61309	Akabane virus	Simbu
BAE97962|Akabane_virus	BAE97962	Akabane virus	Simbu
BAE97824|Akabane_virus	BAE97824	Akabane virus	Simbu
BAE97852|Akabane_virus	BAE97852	Akabane virus	Simbu
BAA24215|Akabane_virus	BAA24215	Akabane virus	Simbu
BAE97914|Akabane_virus	BAE97914	Akabane virus	Simbu
BAE97904|Akabane_virus	BAE97904	Akabane virus	Simbu
BAE97932|Akabane_virus	BAE97932	Akabane virus	Simbu
BAE97888|Akabane_virus	BAE97888	Akabane virus	Simbu
BAE97946|Akabane_virus	BAE97946	Akabane virus	Simbu
BAE97826|Akabane_virus	BAE97826	Akabane virus	Simbu
BAE97910|Akabane_virus	BAE97910	Akabane virus	Simbu
BAE97924|Akabane_virus	BAE97924	Akabane virus	Simbu
BAE97892|Akabane_virus	BAE97892	Akabane virus	Simbu
BAA24207|Akabane_virus	BAA24207	Akabane virus	Simbu
QQH14722|Akabane_virus	QQH14722	Akabane virus	Simbu
BAA24221|Akabane_virus	BAA24221	Akabane virus	Simbu
BAE97922|Akabane_virus	BAE97922	Akabane virus	Simbu
BAE97898|Akabane_virus	BAE97898	Akabane virus	Simbu
BAE97918|Akabane_virus	BAE97918	Akabane virus	Simbu
BBD13811|Akabane_virus	BBD13811	Akabane virus	Simbu
BAE97908|Akabane_virus	BAE97908	Akabane virus	Simbu
BAE97944|Akabane_virus	BAE97944	Akabane virus	Simbu
BAA24216|Akabane_virus	BAA24216	Akabane virus	Simbu
BAA24203|Akabane_virus	BAA24203	Akabane virus	Simbu
BAF75848|Akabane_virus	BAF75848	Akabane virus	Simbu
BBD13817|Akabane_virus	BBD13817	Akabane virus	Simbu
BAE97938|Akabane_virus	BAE97938	Akabane virus	Simbu
BBD13823|Akabane_virus	BBD13823	Akabane virus	Simbu
BAE97950|Akabane_virus	BAE97950	Akabane virus	Simbu
BAE97926|Akabane_virus	BAE97926	Akabane virus	Simbu
BAE97864|Akabane_virus	BAE97864	Akabane virus	Simbu
BAE97866|Akabane_virus	BAE97866	Akabane virus	Simbu
BAE97896|Akabane_virus	BAE97896	Akabane virus	Simbu
BAE97928|Akabane_virus	BAE97928	Akabane virus	Simbu
BAE97912|Akabane_virus	BAE97912	Akabane virus	Simbu
BAE97916|Akabane_virus	BAE97916	Akabane virus	Simbu
BBD13825|Akabane_virus	BBD13825	Akabane virus	Simbu
BAE97906|Akabane_virus	BAE97906	Akabane virus	Simbu
BAA24209|Akabane_virus	BAA24209	Akabane virus	Simbu
BBD13819|Akabane_virus	BBD13819	Akabane virus	Simbu
BAE97948|Akabane_virus	BAE97948	Akabane virus	Simbu
AAC61303|Akabane_virus	AAC61303	Akabane virus	Simbu
BAE97780|Akabane_virus	BAE97780	Akabane virus	Simbu
BBD13821|Akabane_virus	BBD13821	Akabane virus	Simbu
BAA24208|Akabane_virus	BAA24208	Akabane virus	Simbu
BAR94031|Akabane_virus	BAR94031	Akabane virus	Simbu
BBD13813|Akabane_virus	BBD13813	Akabane virus	Simbu
BAE97894|Akabane_virus	BAE97894	Akabane virus	Simbu
BAE97964|Akabane_virus	BAE97964	Akabane virus	Simbu
BAE97934|Akabane_virus	BAE97934	Akabane virus	Simbu
BAA24201|Akabane_virus	BAA24201	Akabane virus	Simbu
BAE97940|Akabane_virus	BAE97940	Akabane virus	Simbu
BAE97902|Akabane_virus	BAE97902	Akabane virus	Simbu
BCG45240|Akabane_virus	BCG45240	Akabane virus	Simbu
BAE97856|Akabane_virus	BAE97856	Akabane virus	Simbu
BAE97860|Akabane_virus	BAE97860	Akabane virus	Simbu
BBD13815|Akabane_virus	BBD13815	Akabane virus	Simbu
BAE97942|Akabane_virus	BAE97942	Akabane virus	Simbu
BAE97854|Akabane_virus	BAE97854	Akabane virus	Simbu
BAA24206|Akabane_virus	BAA24206	Akabane virus	Simbu
BAE97900|Akabane_virus	BAE97900	Akabane virus	Simbu
ACT37426|Akabane_virus	ACT37426	Akabane virus	Simbu
ACT37424|Akabane_virus	ACT37424	Akabane virus	Simbu
BAE97886|Akabane_virus	BAE97886	Akabane virus	Simbu
BAE97880|Akabane_virus	BAE97880	Akabane virus	Simbu
BAE97878|Akabane_virus	BAE97878	Akabane virus	Simbu
BAE97882|Akabane_virus	BAE97882	Akabane virus	Simbu
BAE97876|Akabane_virus	BAE97876	Akabane virus	Simbu
BAE97884|Akabane_virus	BAE97884	Akabane virus	Simbu
BAE97874|Akabane_virus	BAE97874	Akabane virus	Simbu
BAE97868|Akabane_virus	BAE97868	Akabane virus	Simbu
BAE97870|Akabane_virus	BAE97870	Akabane virus	Simbu
BAE97872|Akabane_virus	BAE97872	Akabane virus	Simbu
BAE98056|Akabane_virus	BAE98056	Akabane virus	Simbu
BAE98046|Akabane_virus	BAE98046	Akabane virus	Simbu
BAE98042|Akabane_virus	BAE98042	Akabane virus	Simbu
BAE98008|Akabane_virus	BAE98008	Akabane virus	Simbu
BAE98012|Akabane_virus	BAE98012	Akabane virus	Simbu
BAE98016|Akabane_virus	BAE98016	Akabane virus	Simbu
BAE97980|Akabane_virus	BAE97980	Akabane virus	Simbu
BAE98010|Akabane_virus	BAE98010	Akabane virus	Simbu
BAE98002|Akabane_virus	BAE98002	Akabane virus	Simbu
BAE98006|Akabane_virus	BAE98006	Akabane virus	Simbu
BAE97984|Akabane_virus	BAE97984	Akabane virus	Simbu
BAE98036|Akabane_virus	BAE98036	Akabane virus	Simbu
AAC61305|Akabane_virus	AAC61305	Akabane virus	Simbu
BAE97994|Akabane_virus	BAE97994	Akabane virus	Simbu
BAE97968|Akabane_virus	BAE97968	Akabane virus	Simbu
BAE97998|Akabane_virus	BAE97998	Akabane virus	Simbu
BAE98004|Akabane_virus	BAE98004	Akabane virus	Simbu
AWH61313|Akabane_virus	AWH61313	Akabane virus	Simbu
AWH61312|Akabane_virus	AWH61312	Akabane virus	Simbu
BAE97848|Akabane_virus	BAE97848	Akabane virus	Simbu
BAE98028|Akabane_virus	BAE98028	Akabane virus	Simbu
BAE98014|Akabane_virus	BAE98014	Akabane virus	Simbu
BAE98038|Akabane_virus	BAE98038	Akabane virus	Simbu
BAE98048|Akabane_virus	BAE98048	Akabane virus	Simbu
BAE97996|Akabane_virus	BAE97996	Akabane virus	Simbu
BAE97846|Akabane_virus	BAE97846	Akabane virus	Simbu
BAE97990|Akabane_virus	BAE97990	Akabane virus	Simbu
BAE98026|Akabane_virus	BAE98026	Akabane virus	Simbu
AAM94342|Akabane_virus	AAM94342	Akabane virus	Simbu
BAE97954|Akabane_virus	BAE97954	Akabane virus	Simbu
BAE97974|Akabane_virus	BAE97974	Akabane virus	Simbu
BAE98000|Akabane_virus	BAE98000	Akabane virus	Simbu
BAE97956|Akabane_virus	BAE97956	Akabane virus	Simbu
BAE97976|Akabane_virus	BAE97976	Akabane virus	Simbu
AWH61315|Akabane_virus	AWH61315	Akabane virus	Simbu
BAE97960|Akabane_virus	BAE97960	Akabane virus	Simbu
BAE98018|Akabane_virus	BAE98018	Akabane virus	Simbu
BAE98034|Akabane_virus	BAE98034	Akabane virus	Simbu
BAE97982|Akabane_virus	BAE97982	Akabane virus	Simbu
BAE98030|Akabane_virus	BAE98030	Akabane virus	Simbu
BAE97978|Akabane_virus	BAE97978	Akabane virus	Simbu
BAE98052|Akabane_virus	BAE98052	Akabane virus	Simbu
BAE97970|Akabane_virus	BAE97970	Akabane virus	Simbu
BAE97986|Akabane_virus	BAE97986	Akabane virus	Simbu
BAE97958|Akabane_virus	BAE97958	Akabane virus	Simbu
BAE98050|Akabane_virus	BAE98050	Akabane virus	Simbu
BAE97972|Akabane_virus	BAE97972	Akabane virus	Simbu
BAE97988|Akabane_virus	BAE97988	Akabane virus	Simbu
BAE98020|Akabane_virus	BAE98020	Akabane virus	Simbu
BAA24211|Akabane_virus	BAA24211	Akabane virus	Simbu
BAE98032|Akabane_virus	BAE98032	Akabane virus	Simbu
BAE97992|Akabane_virus	BAE97992	Akabane virus	Simbu
BAE98024|Akabane_virus	BAE98024	Akabane virus	Simbu
BAE97952|Akabane_virus	BAE97952	Akabane virus	Simbu
BAE98040|Akabane_virus	BAE98040	Akabane virus	Simbu
BAE98022|Akabane_virus	BAE98022	Akabane virus	Simbu
BAE98044|Akabane_virus	BAE98044	Akabane virus	Simbu
BAE98054|Akabane_virus	BAE98054	Akabane virus	Simbu
AWH61314|Akabane_virus	AWH61314	Akabane virus	Simbu
QWW18633|Akabane_orthobunyavirus	QWW18633	Akabane orthobunyavirus	Simbu
UXG07021|Akabane_orthobunyavirus	UXG07021	Akabane orthobunyavirus	Simbu
QWW18637|Akabane_orthobunyavirus	QWW18637	Akabane orthobunyavirus	Simbu
UGK54255|Akabane_orthobunyavirus	UGK54255	Akabane orthobunyavirus	Simbu
QWW18625|Akabane_orthobunyavirus	QWW18625	Akabane orthobunyavirus	Simbu
QWW18639|Akabane_orthobunyavirus	QWW18639	Akabane orthobunyavirus	Simbu
BBD13867|Akabane_virus	BBD13867	Akabane virus	Simbu
QQL13653|Akabane_virus	QQL13653	Akabane virus	Simbu
BBD13859|Akabane_virus	BBD13859	Akabane virus	Simbu
BBD13863|Akabane_virus	BBD13863	Akabane virus	Simbu
QFZ79363|Akabane_virus	QFZ79363	Akabane virus	Simbu
BBD13861|Akabane_virus	BBD13861	Akabane virus	Simbu
BBD13865|Akabane_virus	BBD13865	Akabane virus	Simbu
ASM94313|Akabane_virus	ASM94313	Akabane virus	Simbu
AYO61085|Akabane_virus	AYO61085	Akabane virus	Simbu
ANO39152|Akabane_virus	ANO39152	Akabane virus	Simbu
ASM94310|Akabane_virus	ASM94310	Akabane virus	Simbu
