taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AXP33558|Abras_virus	442	AXP33558	Abras virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Patois
QLA47005|Abras_virus	588	QLA47005	Abras virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Patois
QLA47108|Acara_virus	611	QLA47108	Acara virus	BeAn 27639	1961	Mus musculus	Brazil	South America	Capim
ATI21262|Achiote_virus	357	ATI21262	Achiote virus	PanAr 395144	1973	Aedes spp	Panama	South America	California
ATI21264|Achiote_virus	358	ATI21264	Achiote virus	PanAr 395145	1979	Aedes spp	Panama	South America	California
AXP31990|Aino_virus	417	AXP31990	Aino virus	JaNAr 28	1964	Culex tritaeniorhynchus	"Japan: Ainotown, Nagasaki"	Asia	Simbu
QCT81351|Aino_virus	516	QCT81351	Aino virus	B7974	1968	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81352|Aino_virus	517	QCT81352	Aino virus	cs276	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81353|Aino_virus	518	QCT81353	Aino virus	cs296	1979	bovine	Australia	Oceania	Simbu
QCT81354|Aino_virus	519	QCT81354	Aino virus	cs655	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81355|Aino_virus	520	QCT81355	Aino virus	cs990	1991	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81356|Aino_virus	521	QCT81356	Aino virus	cs1068	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81357|Aino_virus	522	QCT81357	Aino virus	cs1574	1983	Bos taurus	Australia	Oceania	Simbu
QCT81358|Aino_virus	523	QCT81358	Aino virus	cs378	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
UGK54253|Akabane_orthobunyavirus	641	UGK54253	Akabane orthobunyavirus	ISR-170/18	2018	sheep	Israel	Asia	Simbu
AFH96035|Akabane_virus	67	AFH96035	Akabane virus	AKVS-7/SKR/2010	2010	cattle	South Korea	Asia	Simbu
AKP63313|Akabane_virus	221	AKP63313	Akabane virus	DHL10M110	2010	Anopheles vagus (mosquito)	China	Asia	Simbu
ALE15081|Akabane_virus	236	ALE15081	Akabane virus	JaLAB39	1959	Aedes vexans	Australia	Oceania	Simbu
APU93383|Akabane_virus	299	APU93383	Akabane virus	DHL10M110	2010	Anopheles vagus	China: Yunnan Province	Asia	Simbu
ASM94312|Akabane_virus	340	ASM94312	Akabane virus	GXLCH02	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94315|Akabane_virus	341	ASM94315	Akabane virus	GXLCH04	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94318|Akabane_virus	342	ASM94318	Akabane virus	GXLCH16-70	2016	Rhizomys pruinosus	China	Asia	Simbu
